net,length_um
_1124_,69.42
u_pe_array.g_pe_row\[2\].g_pe_col\[1\].u_pe.act_val\[5\],69.36
u_pe_array.g_pe_row\[2\].g_pe_col\[3\].u_pe.act_val\[5\],69.34
u_pe_array.g_pe_row\[0\].g_pe_col\[2\].u_pe.act_val\[5\],69.055
clknet_leaf_87_clk,68.9
_2001_,68.83
_3529_,68.56
clknet_leaf_55_clk,68.3
u_pe_array.g_pe_row\[3\].g_pe_col\[2\].u_pe.act_val\[1\],67.98
clknet_leaf_16_clk,67.82
u_pe_array.g_pe_row\[2\].g_pe_col\[2\].u_pe.act_val\[2\],67.68
clknet_leaf_21_clk,67.5
_1479_,67.44
_0955_,67.4
net22,67.36
clknet_leaf_11_clk,67.34
u_pe_array.u_fifo2.wr_ptr\[0\],67.22
u_pe_array.g_pe_row\[0\].g_pe_col\[2\].u_pe.psum_out\[9\],67.06
_2507_,67
clknet_leaf_98_clk,66.86
net175,66.48
_3499_,66.455
u_pe_array.g_pe_row\[2\].g_pe_col\[2\].u_pe.act_val\[3\],66.31
_0936_,66.26
_3484_,66.26
_2686_,66.24
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.move_reg\[12\],66.18
u_pe_array.g_pe_row\[1\].g_pe_col\[3\].u_pe.psum_out\[10\],66.16
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.act_val\[5\],66.02
clknet_leaf_33_clk,65.94
clknet_leaf_60_clk,65.93
clknet_leaf_39_clk,65.83
clknet_leaf_10_clk,65.74
_2687_,65.73
clknet_leaf_53_clk,65.71
clknet_leaf_43_clk,65.64
_3239_,65.58
net171,65.52
clknet_leaf_15_clk,65.42
u_pe_array.g_pe_row\[3\].g_pe_col\[2\].u_pe.psum_out\[10\],65.17
_3352_,65.06
_3536_,64.62
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.act_val\[4\],64.44
clknet_leaf_41_clk,64.4
u_pe_array.act_from_up\[14\]\[2\],64.38
u_pe_array.act_from_up\[6\]\[6\],64.26
clknet_leaf_40_clk,64.16
net474,64.1
_0918_,63.7
clknet_leaf_54_clk,63.54
u_pe_array.act_from_left\[5\]\[0\],63.52
_2284_,63.46
u_pe_array.g_pe_row\[3\].g_pe_col\[2\].u_pe.psum_out\[8\],63.395
_2335_,62.96
_1481_,62.84
_2377_,62.8
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.act_val\[3\],62.4
u_pe_array.g_pe_row\[3\].g_pe_col\[2\].u_pe.psum_out\[2\],62.18
u_pe_array.g_pe_row\[1\].g_pe_col\[0\].u_pe.act_val\[0\],62.08
_3240_,61.96
_2707_,61.78
u_pe_array.g_pe_row\[3\].g_pe_col\[3\].u_pe.act_val\[2\],61.76
_2685_,61.72
clknet_leaf_72_clk,61.58
u_pe_array.g_pe_row\[1\].g_pe_col\[0\].u_pe.psum_out\[7\],61.29
u_pe_array.g_pe_row\[0\].g_pe_col\[0\].u_pe.psum_out\[7\],61.04
clknet_leaf_23_clk,60.96
u_pe_array.act_from_up\[6\]\[7\],60.94
